idx,lon,lat,day,night
116.95_40.29,116.95,40.29,7.0,129.0
116.95_40.28,116.95,40.28,4.0,5.0
116.95_40.21,116.95,40.21,0.0,41.0
116.95_40.22,116.95,40.22,0.0,9.0
115.8_39.51,115.8,39.51,0.0,110.0
116.87_39.77,116.87,39.77,2.0,205.0
116.26_40.44,116.26,40.44,0.0,1.0
116.45_40.24,116.45,40.24,22.0,0.0
116.45_40.22,116.45,40.22,407.0,509.0
116.45_40.23,116.45,40.23,52.0,534.0
116.45_40.21,116.45,40.21,186.0,179.0
116.87_39.74,116.87,39.74,96.0,179.0
116.05_39.62,116.05,39.62,43.0,155.0
116.05_39.63,116.05,39.63,1284.0,1958.0
116.83_39.65,116.83,39.65,13.0,5.0
117.07_40.47,117.07,40.47,0.0,1.0
116.78_40.8,116.78,40.8,2.0,14.0
116.78_40.6,116.78,40.6,33.0,20.0
116.78_40.4,116.78,40.4,409.0,6.0
116.78_40.3,116.78,40.3,2.0,56.0
116.78_40.2,116.78,40.2,15.0,43.0
116.78_40.1,116.78,40.1,28.0,975.0
116.78_40.0,116.78,40.0,490.0,632.0
117.03_40.31,117.03,40.31,0.0,35.0
116.23_40.73,116.23,40.73,10.0,6.0
116.34_40.01,116.34,40.01,13644.0,25949.0
116.34_40.02,116.34,40.02,9961.0,15461.0
116.34_40.03,116.34,40.03,19854.0,28895.0
116.34_40.04,116.34,40.04,13165.0,11862.0
116.34_40.05,116.34,40.05,3817.0,12045.0
116.34_40.06,116.34,40.06,19702.0,16878.0
116.34_40.07,116.34,40.07,6701.0,14814.0
116.34_40.08,116.34,40.08,5938.0,14506.0
116.34_40.09,116.34,40.09,3421.0,13092.0
115.7_39.63,115.7,39.63,31.0,27.0
117.03_40.35,117.03,40.35,1.0,120.0
117.14_40.16,117.14,40.16,2024.0,2243.0
117.14_40.17,117.14,40.17,2463.0,48.0
117.14_40.14,117.14,40.14,492.0,738.0
117.14_40.15,117.14,40.15,46.0,1722.0
117.14_40.12,117.14,40.12,57.0,547.0
117.14_40.13,117.14,40.13,173.0,883.0
117.14_40.11,117.14,40.11,3.0,398.0
116.05_39.69,116.05,39.69,72.0,351.0
117.14_40.18,117.14,40.18,164.0,542.0
117.14_40.19,117.14,40.19,52.0,573.0
117.19_40.42,117.19,40.42,1.0,17.0
117.19_40.43,117.19,40.43,0.0,3.0
117.19_40.44,117.19,40.44,0.0,5.0
116.18_39.68,116.18,39.68,22.0,52.0
116.18_39.69,116.18,39.69,134.0,88.0
116.18_39.65,116.18,39.65,14.0,218.0
116.18_39.66,116.18,39.66,12.0,28.0
116.18_39.67,116.18,39.67,95.0,33.0
116.18_39.61,116.18,39.61,16.0,61.0
116.18_39.62,116.18,39.62,2.0,31.0
116.18_39.63,116.18,39.63,5.0,16.0
116.22_40.29,116.22,40.29,690.0,490.0
116.22_40.28,116.22,40.28,10.0,7.0
116.22_40.27,116.22,40.27,1237.0,563.0
116.22_40.26,116.22,40.26,486.0,173.0
116.22_40.25,116.22,40.25,345.0,189.0
116.22_40.24,116.22,40.24,554.0,188.0
116.22_40.23,116.22,40.23,4386.0,11911.0
116.22_40.22,116.22,40.22,16720.0,18389.0
116.22_40.21,116.22,40.21,7883.0,8001.0
116.41_39.66,116.41,39.66,1630.0,777.0
116.41_39.67,116.41,39.67,1209.0,1561.0
115.54_39.8,115.54,39.8,1.0,0.0
116.41_39.65,116.41,39.65,363.0,1180.0
116.41_39.62,116.41,39.62,110.0,158.0
116.41_39.63,116.41,39.63,586.0,68.0
116.41_39.61,116.41,39.61,7.0,208.0
116.41_39.68,116.41,39.68,732.0,73.0
