city,GDP10000,Fiscal10000,Employment,light_sum
金昌市,2245163,184743,110758,9512.603311
儋州市,2317313,160331,402999,14972.07096
鹤岗市,2655736,155867,198770,8352.457845
伊春市,2481966,142563,173980,7740.662757
乌海市,5598322,804757,94980,13045.08562
石嘴山市,4823793,267545,91370,16174.53495
双鸭山市,4333342,237097,137245,16342.82062
鸡西市,5146868,345430,282753,16223.96288
资阳市,12703811,617733,260376,8164.981593
本溪市,11646927,537680,276433,25890.66435
辽源市,7266404,281179,127528,12663.44489
汕尾市,7620631,288275,240091,20179.25192
云浮市,7131416,587005,222043,15669.05754
攀枝花市,9251839,533412,304748,14435.38366
潮州市,9101099,471928,197890,26275.53969
白山市,6685521,447965,178344,8625.643877
通化市,10012129,781264,280660,12365.26684
黑河市,4478252,289440,306539,15537.24219
渭南市,14690806,720568,464073,32607.07719
白城市,6996822,401809,207679,18122.62231
固原市,2170391,159094,66442,10576.50441
阳泉市,5957009,441645,273026,14733.3458
中卫市,3168907,212955,65550,14455.67066
景德镇市,7720557,905885,195067,7807.251234
盘锦市,12565377,950464,464428,47219.2609
鹰潭市,6392614,830110,155403,5557.690319
贺州市,4681077,471378,99206,7688.853646
陇南市,3151353,514942,163200,8714.058968
池州市,5447404,957790,107161,8510.464462
张家界市,4477004,457025,86737,3961.05842
防城港市,6207242,520496,108402,12368.77095
辽阳市,10285818,676847,173529,41024.95025
雅安市,5025788,303082,111269,8790.031704
鄂州市,7300100,471713,215512,9991.205269
阳江市,12500077,679307,236252,27077.08116
铜陵市,9116000,668092,172622,13080.20661
阜新市,5255376,371524,192556,15227.31942
内江市,11985784,502682,298165,15060.97923
丽江市,2896117,477693,108319,13986.26987
鹤壁市,7172528,528608,234716,12876.83873
韶关市,11499806,852266,339531,20764.72341
来宾市,5576985,302863,137925,12772.03259
抚顺市,12164773,737669,274466,38834.58201
揭阳市,18900144,774045,418208,43795.17523
广安市,10056146,566985,157712,16718.48049
遂宁市,9158112,493162,201295,16109.73825
乐山市,13012326,855322,292757,20346.02483
三门峡市,12510383,939398,273599,18263.81853
随州市,7852600,433393,139893,7091.438544
吴忠市,4048073,319659,96474,24746.0133
崇左市,6828231,501163,136950,9056.696133
舟山市,10928459,1127221,466000,30370.94172
巴彦淖尔市,8874300,657634,149266,16271.86132
广元市,6054300,408176,167985,13295.64422
莱芜市,6658300,501717,179247,11048.79342
淮北市,7603904,602313,232182,19612.5086
肇庆市,19700100,1433604,427813,35780.54925
巴中市,5013438,390502,309008,6065.562776
保山市,5519581,522364,188989,11210.56198
朔州市,9011301,543000,196976,40670.48642
普洱市,5140121,474890,172565,11463.49703
丹东市,9849006,663424,257797,21713.65114
萍乡市,9123871,1060654,206191,4774.155397
乌兰察布市,9137748,551510,159918,24486.46066
西安市,58012000,6509853,1984561,164813.8265
佳木斯市,8101676,359846,180105,41995.20572
眉山市,10298632,831491,203445,14941.27059
自贡市,11431113,448256,209710,10038.00518
酒泉市,5447963,345580,144744,22770.05077
葫芦岛市,7201673,571361,247957,25838.37971
牡丹江市,13107000,589788,264769,30797.75135
铁岭市,7409003,502848,244774,20558.68928
海东市,3843963,217347,73849,12289.95378
漯河市,9928496,682831,331813,20258.26267
娄底市,12916626,599218,291192,13840.56025
临沧市,5021223,380608,147857,10126.24971
梧州市,10785858,923727,193707,11472.93461
三亚市,4358202,889178,126408,21450.98198
湘潭市,17030972,1739190,436400,23040.05952
河源市,8100793,674801,270731,22008.80501
武威市,4161872,268422,128873,13818.35744
平凉市,3476994,247157,181987,10884.11236
黄山市,5309000,715955,113315,4837.535002
朝阳市,8547329,547334,266727,25836.49373
天水市,5537728,366939,227881,14509.01263
鞍山市,23369966,1290742,559614,48732.89898
德阳市,16050640,886148,321366,28504.63306
钦州市,9444242,503447,208312,20621.7061
濮阳市,13283410,789989,408819,25422.9383
昭通市,7083761,552695,230913,17955.79247
定西市,3049178,243489,155227,12031.28099
安顺市,6254100,698639,183036,25458.71898
茂名市,24456300,1139190,456620,27585.91472
梅州市,9597781,1035910,293176,21312.36025
贵港市,8652035,425671,187053,13666.34266
衢州市,11461322,940151,207503,18823.94375
永州市,14181762,924799,323000,11887.59056
丽水市,11032922,945064,184800,27046.60643
咸宁市,10300700,801200,232957,11158.18395
营口市,15137503,1040689,244473,43906.93602
北海市,8920837,476136,146839,24402.06325
新余市,9467964,988040,142720,7364.881979
大同市,10533703,923963,407480,55142.89262
呼伦贝尔市,15989500,1033323,378066,36274.99574
大庆市,29834587,1272318,520200,145673.7355
忻州市,6812356,736546,245764,42696.50134
锦州市,13273292,755188,317006,30917.92086
齐齐哈尔市,12703250,789712,407438,51193.96948
抚州市,11051377,1268195,389575,13401.33036
荆门市,13884600,804269,386916,10244.12302
晋城市,10402416,939026,372995,23535.90741
湛江市,23800243,1218571,510304,47099.1508
怀化市,12732479,1107921,264173,13265.25752
吕梁市,9558013,906798,361748,39834.15797
泸州市,13534133,1282653,379496,14529.90088
焦作市,19260785,1151098,503370,24801.77447
玉溪市,12445230,1248167,270100,30829.03133
绥化市,12722076,562140,261182,29152.72165
淮南市,9010822,773133,330118,27366.57288
白银市,4342749,254908,179179,12113.55722
南充市,15162016,850746,468678,29302.88081
宣城市,9714569,1315571,160428,21458.95273
河池市,6180346,314475,187991,13440.18316
四平市,12332487,622849,198127,32070.85367
三明市,17130478,936821,245206,23702.1955
达州市,13507623,791548,344985,17010.49258
通辽市,18772700,1204800,293299,34638.87763
百色市,9803511,729817,218154,24200.87364
庆阳市,6094314,553993,180149,38327.17735
松原市,16373003,502083,260576,27884.07404
汕头市,18680251,1312614,547136,58179.13692
马鞍山市,13653044,2100023,231375,38767.83167
张掖市,3735300,241363,132205,10793.57143
清远市,12778570,1083805,314989,43869.99192
宜宾市,15259043,1149677,362062,16211.51755
益阳市,13544119,685818,265555,7444.56057
龙岩市,17384535,1246063,305614,25412.41527
十堰市,13001200,933829,640976,13559.79724
黄石市,12281000,1005800,320758,16428.49042
拉萨市,3767300,890277,446798,19448.60836
晋中市,10461155,1002430,356406,47290.84126
孝感市,14572000,1227715,815130,17758.31618
邵阳市,13869988,1307821,382330,14715.88007
铜仁市,7708924,566071,205109,15462.83422
长治市,11953423,964350,427080,41809.74898
蚌埠市,12530550,1196801,269355,36478.61911
南平市,13395148,864266,248160,20518.83216
岳阳市,28862800,3027781,483506,24684.24282
株洲市,23351075,2904336,464740,20662.31831
鄂尔多斯市,42261300,4458999,332304,77925.41157
郴州市,20120654,2202690,359159,22466.39363
安阳市,18844808,1096434,589509,32775.43568
常德市,27090169,1486445,413595,20184.49585
临汾市,11611090,881813,371749,32702.06114
吉安市,13285198,1617237,383068,15062.94283
西宁市,11316193,947861,341614,37955.01505
江门市,22400243,1990104,582854,60684.56901
平顶山市,17057781,1178762,558658,33793.56004
玉林市,14461253,971599,345645,23872.34661
东营市,34506400,2200829,438594,62040.15977
包头市,37219300,2523021,402221,61725.98479
荆州市,15905000,1039499,427800,17828.15705
秦皇岛市,12504439,1143620,328441,41115.04151
宁德市,14873590,1043894,310076,30868.07483
新乡市,19750287,1445666,685918,41134.77187
衡阳市,26015749,1946416,540482,18163.77108
承德市,13587278,972646,299368,34579.95477
六盘水市,12010800,1302641,240938,24083.28151
绵阳市,17003318,1041308,512583,27952.82344
滁州市,13056964,1437304,237490,47055.31305
莆田市,16551618,1156473,497001,54762.38902
柳州市,22986169,1466765,616538,42345.62837
赤峰市,18612749,1045777,339476,39992.98102
六安市,10164885,1033345,1088690,25121.51677
宜昌市,33848000,3391000,934399,25165.4124
日照市,16708000,1216512,310007,35066.74838
许昌市,21711562,1385496,452013,26048.50875
运城市,11740143,562961,359791,28519.81641
信阳市,18777440,910323,631106,21543.67431
枣庄市,20310028,1493149,473136,27550.25446
安庆市,14174300,1065708,334413,19906.82759
桂林市,19429668,1345258,443869,24860.57674
宿州市,12358259,860152,765000,32365.97764
宜春市,16210204,2150377,459122,19064.57482
芜湖市,24573234,2634682,444659,50814.52116
曲靖市,16502574,1180929,472423,45369.58794
毕节市,14613476,1076178,318214,22120.32504
张家口市,13635443,1334334,376079,45694.28535
商丘市,18121623,1107127,702036,39298.62275
开封市,16058404,1082750,489413,26270.67906
漳州市,27673767,1791025,551733,74084.29264
湖州市,20842666,1913116,500579,51029.47414
镇江市,35024800,3028500,504999,70778.96211
上饶市,16508064,2223687,463290,17013.11126
黄冈市,15892400,1128244,637671,19706.40433
德州市,27509400,1827800,563409,34555.37662
九江市,19026783,2472022,468092,27229.17275
泰安市,31583900,2053136,731720,29987.79191
呼和浩特市,30905200,2474021,415684,79284.73337
襄阳市,33821200,3391000,992278,23856.03142
驻马店市,18070960,959790,736475,35329.39901
衡水市,12200080,885155,295191,23786.36274
滨州市,23553298,2041481,525433,55070.74429
威海市,30015700,2497470,576144,44346.3439
